2025-02-24 00:03:46 status half-configured libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 status installed libkrb5support0:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 configure libsasl2-modules-db:amd64 2.1.28+dfsg-10 <none>
2025-02-24 00:03:46 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 status installed libsasl2-modules-db:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2 <none>
2025-02-24 00:03:46 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:46 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:46 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b2
2025-02-24 00:03:46 configure libk5crypto3:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:46 status unpacked libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 status half-configured libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 status installed libk5crypto3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 configure libsasl2-2:amd64 2.1.28+dfsg-10 <none>
2025-02-24 00:03:46 status unpacked libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 status half-configured libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 status installed libsasl2-2:amd64 2.1.28+dfsg-10
2025-02-24 00:03:46 configure libssh2-1:amd64 1.10.0-3+b1 <none>
2025-02-24 00:03:46 status unpacked libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:46 status half-configured libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:46 status installed libssh2-1:amd64 1.10.0-3+b1
2025-02-24 00:03:46 configure libkrb5-3:amd64 1.20.1-2+deb12u2 <none>
2025-02-24 00:03:46 status unpacked libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 status half-configured libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 status installed libkrb5-3:amd64 1.20.1-2+deb12u2
2025-02-24 00:03:46 configure openssl:amd64 3.0.15-1~deb12u1 <none>
2025-02-24 00:03:46 status unpacked openssl:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 status half-configured openssl:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 status installed openssl:amd64 3.0.15-1~deb12u1
2025-02-24 00:03:46 configure readline-common:all 8.2-1.3 <none>
2025-02-24 00:03:46 status unpacked readline-common:all 8.2-1.3
2025-02-24 00:03:46 status half-configured readline-common:all 8.2-1.3
2025-02-24 00:03:46 status installed readline-common:all 8.2-1.3
2025-02-24 00:03:46 configure libreadline8:amd64 8.2-1.3 <none>
